Название|Цена|Адрес|Ссылка
1-комн. квартира, 34 м², 7/9 этаж|25 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, улица Полевая, 8/2|https://novosibirsk.cian.ru/rent/flat/301883408/
1-комн. квартира, 30,6 м², 1/4 этаж|33 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Верхняя зона Академгородка, Академгородок мкр, улица Академическая|https://novosibirsk.cian.ru/rent/flat/301334053/
1-комн. квартира, 47 м², 6/10 этаж|60 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, улица Рубиновая, 4|https://novosibirsk.cian.ru/rent/flat/308435771/
2-комн. квартира, 47 м², 2/9 этаж|35 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, улица Героев Труда, 33А|https://novosibirsk.cian.ru/rent/flat/315230878/
1-комн. квартира, 36 м², 3/5 этаж|25 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, улица Иванова, 26|https://novosibirsk.cian.ru/rent/flat/315536730/
2-комн. квартира, 45 м², 5/5 этаж|39 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, м. Речной вокзал, Академгородок мкр, проспект Строителей, 7|https://novosibirsk.cian.ru/rent/flat/315641669/
1-комн. квартира, 46 м², 7/16 этаж|45 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, улица Российская, 8|https://novosibirsk.cian.ru/rent/flat/315237882/
2-комн. квартира, 44 м², 2/4 этаж|28 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, м. Речной вокзал, Академгородок мкр, улица Героев Труда, 13|https://novosibirsk.cian.ru/rent/flat/315969691/
2-комн. квартира, 54 м², 9/9 этаж|66 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, улица Героев Труда, 33А|https://novosibirsk.cian.ru/rent/flat/308435613/
1-комн. квартира, 34 м², 13/19 этаж|60 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, улица Шатурская, 12|https://novosibirsk.cian.ru/rent/flat/297145165/
2-комн. квартира, 52,7 м², 4/9 этаж|33 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, улица Иванова, 32А|https://novosibirsk.cian.ru/rent/flat/314867195/
2-комн. квартира, 55 м², 4/9 этаж|40 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, улица Иванова, 32А|https://novosibirsk.cian.ru/rent/flat/314380515/
1-комн. квартира, 34 м², 3/9 этаж|31 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Верхняя зона Академгородка, Академгородок мкр, улица Ильича, 1|https://novosibirsk.cian.ru/rent/flat/313170451/
2-комн. квартира, 54 м², 8/9 этаж|35 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, улица Полевая, 16|https://novosibirsk.cian.ru/rent/flat/312804094/
2-комн. квартира, 48 м², 5/9 этаж|40 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, улица Демакова, 17/1|https://novosibirsk.cian.ru/rent/flat/316049194/
2-комн. квартира, 51 м², 4/9 этаж|30 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, улица Героев Труда, 27Б|https://novosibirsk.cian.ru/rent/flat/253778318/
2-комн. квартира, 42 м², 2/4 этаж|35 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, Академгородок мкр, проспект Строителей|https://novosibirsk.cian.ru/rent/flat/291053633/
1-комн. квартира, 31 м², 4/5 этаж|25 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, улица Иванова, 41|https://novosibirsk.cian.ru/rent/flat/313010393/
2-комн. квартира, 46 м², 2/5 этаж|30 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, улица Арбузова, 1|https://novosibirsk.cian.ru/rent/flat/315952161/
2-комн. квартира, 47 м², 9/12 этаж|38 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, бульвар Молодежи, 40|https://novosibirsk.cian.ru/rent/flat/314999603/
2-комн. квартира, 54 м², 8/9 этаж|25 500 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, улица Иванова, 28|https://novosibirsk.cian.ru/rent/flat/316005365/
2-комн. квартира, 48,24 м², 15/17 этаж|30 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, улица Шатурская, 8|https://novosibirsk.cian.ru/rent/flat/315355185/
2-комн. квартира, 44 м², 1/5 этаж|40 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Верхняя зона Академгородка, Академгородок мкр, улица Ильича, 19|https://novosibirsk.cian.ru/rent/flat/316007091/
2-комн. квартира, 47 м², 3/4 этаж|30 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, м. Речной вокзал, Академгородок мкр, проспект Строителей, 9|https://novosibirsk.cian.ru/rent/flat/315238054/
2-комн. квартира, 60 м², 3/4 этаж|48 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Верхняя зона Академгородка, Академгородок мкр, улица Жемчужная, 2|https://novosibirsk.cian.ru/rent/flat/316139214/
2-комн. квартира, 44,2 м², 2/5 этаж|30 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, улица Рубиновая, 7|https://novosibirsk.cian.ru/rent/flat/308208773/
2-комн. квартира, 46 м², 5/9 этаж|35 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Верхняя зона Академгородка, м. Речной вокзал, Академгородок мкр, улица Терешковой, 12|https://novosibirsk.cian.ru/rent/flat/315188740/
2-комн. квартира, 45 м², 2/5 этаж|35 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Верхняя зона Академгородка, Академгородок мкр, улица Ильича, 15|https://novosibirsk.cian.ru/rent/flat/315129811/
2-комн. квартира, 47 м², 15/17 этаж|52 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, бульвар Молодежи, 17|https://novosibirsk.cian.ru/rent/flat/300600736/
1-комн. квартира, 32 м², 5/17 этаж|35 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, м. Речной вокзал, Академгородок мкр, улица Арбузова, 4/1|https://novosibirsk.cian.ru/rent/flat/314885309/
2-комн. квартира, 50 м², 2/10 этаж|60 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, улица Иванова, 35А|https://novosibirsk.cian.ru/rent/flat/316016355/
2-комн. квартира, 44 м², 2/4 этаж|30 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, бульвар Молодежи, 16|https://novosibirsk.cian.ru/rent/flat/278593422/
1-комн. квартира, 37,2 м², 2/9 этаж|30 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, м. Речной вокзал, Академгородок мкр, улица Иванова, 28|https://novosibirsk.cian.ru/rent/flat/314968099/
